id,user_id,title,message,type,is_read,created_at
118,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:21:49"
119,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:21:54"
120,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:21:59"
121,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:23:45"
122,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:23:48"
123,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:23:52"
124,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:23:55"
125,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:24:00"
126,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:24:04"
127,32,"Bill Overdue","Your water bill #6 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:25:13"
128,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:25:17"
129,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:25:21"
130,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:25:26"
131,5,"Bill Overdue","Your water bill #15 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:25:30"
132,15,"Bill Overdue","Your water bill #18 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-09 19:25:34"
133,32,"Bill Overdue","Your water bill #19 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-16 14:53:47"
134,37,"New Meter Reading Recorded","New meter reading of 50.52 recorded. Bill amount: ₱1,263.00. Due date: 2026-02-21.",system,1,"2026-02-16 16:15:09"
135,32,"Payment Received","Your payment of ₱787.5 was successfully recorded.",payment,1,"2026-02-16 19:49:27"
136,32,"Payment Received","Your payment of ₱787.5 was successfully recorded.",payment,1,"2026-02-16 19:57:05"
137,32,"Payment Received","Your payment of ₱787.5 was successfully recorded.",payment,1,"2026-02-16 20:01:16"
138,32,"Payment Received","Your payment of ₱787.5 was successfully recorded.",payment,1,"2026-02-16 20:02:04"
139,32,"Payment Received","Your payment of ₱787.5 was successfully recorded.",payment,1,"2026-02-16 20:04:35"
140,32,"Payment Received","Your payment of ₱787.5 was successfully recorded.",payment,1,"2026-02-16 20:05:56"
141,36,"New Meter Reading Recorded","New meter reading of 50.25 recorded. Bill amount: ₱1,256.25. Due date: 2026-02-22.",system,1,"2026-02-17 19:02:23"
142,5,"Service Request Resolved","Your service request has been resolved by staff.",system,1,"2026-02-18 19:03:23"
143,35,"Payment Received","Your payment of ₱2101.31 was successfully recorded.",payment,1,"2026-02-19 19:11:46"
144,33,"New Meter Reading Recorded","New meter reading of 110 recorded. Bill amount: ₱237.00. Due date: 2026-02-25.",system,1,"2026-02-20 20:07:58"
145,33,"New Meter Reading Recorded","New meter reading of 110 recorded. Bill amount: ₱170.64. Due date: 2026-02-25.",system,1,"2026-02-20 20:14:25"
146,5,"Service Request Resolved","Your service request has been resolved by staff.",system,1,"2026-02-22 10:25:06"
147,37,"Bill Overdue","Your water bill #20 is overdue. Please pay to avoid disconnection.",warning,1,"2026-03-02 18:15:46"
148,36,"Bill Overdue","Your water bill #21 is overdue. Please pay to avoid disconnection.",warning,1,"2026-03-02 18:15:49"
149,33,"Bill Overdue","Your water bill #23 is overdue. Please pay to avoid disconnection.",warning,1,"2026-03-03 19:36:40"
150,15,"Service Request Resolved","Your service request has been resolved by staff.",system,1,"2026-03-05 17:23:45"
151,15,"Service Request Resolved","Your service request has been resolved by staff.",system,1,"2026-03-05 17:29:28"
154,5,"Service Request Resolved","Your service request has been resolved by staff.",system,1,"2026-03-11 12:23:05"
155,37,"Payment Pending","Your payment of ₱1326.15 is waiting for Verification.",payment,1,"2026-03-11 18:47:09"
156,37,"Payment Pending","Your payment of ₱1326.15 is waiting for Verification.",payment,1,"2026-03-11 19:09:47"
157,37,"Payment Pending","Your payment of ₱1326.15 is waiting for Verification.",payment,1,"2026-03-11 19:28:30"
158,37,"Payment Pending","Your payment of ₱1326.15 is waiting for staff verification.",payment,1,"2026-03-11 20:03:20"
159,37,"Payment Pending","Your payment of ₱1326.15 is waiting for staff verification.",payment,1,"2026-03-11 20:12:53"
160,37,"Payment Approved","Your payment of ₱1,326.15 has been approved. Thank you!",system,1,"2026-03-11 20:13:08"
161,48,"New Meter Reading Recorded","New meter reading of 65 recorded. Bill amount: ₱650.00. Due date: 2026-03-17.",system,1,"2026-03-12 19:23:58"
162,48,"Payment Pending","Your payment of ₱650 is waiting for staff verification.",payment,1,"2026-03-12 19:24:39"
163,48,"Payment Approved","Your payment of ₱650.00 has been verified. Thank you!",system,0,"2026-03-12 19:26:44"
164,44,"New Meter Reading Recorded","New meter reading of 54.65 recorded. Bill amount: ₱546.50. Due date: 2026-03-17.",system,1,"2026-03-12 19:32:03"
165,44,"New Meter Reading Recorded","New meter reading of 54.65 recorded. Bill amount: ₱546.50. Due date: 2026-03-17.",system,1,"2026-03-12 19:34:51"
166,44,"New Meter Reading Recorded","New meter reading of 54.85 recorded. Bill amount: ₱548.50. Due date: 2026-03-17.",system,1,"2026-03-12 19:40:35"
167,44,"New Meter Reading Recorded","New meter reading of 54.74 recorded. Bill amount: ₱547.40. Due date: 2026-03-17.",system,1,"2026-03-12 19:49:42"
168,44,"New Meter Reading Recorded","New meter reading of 54.23 recorded. Bill amount: ₱542.30. Due date: 2026-03-17.",system,1,"2026-03-12 19:51:57"
169,44,"New Meter Reading Recorded","New meter reading of 54.45 recorded. Bill amount: ₱544.50. Due date: 2026-03-17.",system,1,"2026-03-12 19:58:36"
170,44,"New Meter Reading Recorded","New meter reading of 54.76 recorded. Bill amount: ₱547.60. Due date: 2026-03-17.",system,1,"2026-03-12 20:00:38"
171,44,"New Meter Reading Recorded","New meter reading of 45.71 recorded. Bill amount: ₱457.10. Due date: 2026-03-17.",system,1,"2026-03-12 20:06:49"
